index
seconds,0,,instant,ta,0,ba,0
seconds,1.356,,lightning,ba,90,28
seconds,1.379,,lightning,t5,255,32
seconds,1.399,,lightning,ba,90,25
seconds,1.419,,lightning,t4,255,30
seconds,1.442,,lightning,ba,90,25
seconds,1.464,,lightning,t0,255,28
seconds,1.485,,lightning,ba,90,26
seconds,1.505,,lightning,t1,255,27
seconds,1.526,,lightning,ba,90,28
seconds,1.549,,lightning,t5,255,26
seconds,1.571,,lightning,ba,90,29
seconds,1.59,,lightning,t1,255,32
seconds,1.612,,lightning,ba,90,32
seconds,1.632,,lightning,t4,255,30
seconds,1.654,,lightning,ba,90,29
seconds,1.672,,lightning,t1,255,26
seconds,1.692,,lightning,ba,90,28
seconds,1.712,,lightning,t4,255,31
seconds,1.735,,lightning,ba,90,25
seconds,1.754,,lightning,t1,255,31
seconds,1.775,,lightning,ba,90,27
seconds,1.794,,lightning,t4,255,27
seconds,1.812,,lightning,ba,90,25
seconds,1.833,,lightning,t0,255,29
seconds,1.852,,lightning,ba,90,31
seconds,1.873,,lightning,t4,255,27
seconds,1.891,,lightning,ba,90,27
seconds,1.911,,lightning,t5,255,32
seconds,1.929,,lightning,ba,90,30
seconds,1.949,,lightning,t1,255,27
seconds,1.972,,lightning,ba,90,26
seconds,1.994,,lightning,t0,255,29
seconds,2.013,,lightning,ba,90,28
seconds,2.033,,lightning,t1,255,26
seconds,2.052,,lightning,ba,90,29
seconds,2.072,,lightning,t4,255,26
seconds,2.091,,lightning,ba,90,25
seconds,2.113,,lightning,t0,255,25
seconds,2.135,,lightning,ba,90,31
seconds,2.154,,lightning,t5,255,25
seconds,2.175,,lightning,ba,90,30
seconds,2.197,,lightning,t1,255,31
seconds,2.219,,lightning,ba,90,29
seconds,2.239,,lightning,t0,255,30
seconds,2.26,,lightning,ba,90,27
seconds,2.279,,lightning,t1,255,30
seconds,2.299,,lightning,ba,90,27
seconds,2.32,,lightning,t4,255,27
seconds,2.343,,lightning,ba,90,30
seconds,2.362,,lightning,t5,255,26
seconds,2.381,,lightning,ba,90,28
seconds,2.401,,lightning,t0,255,26
seconds,2.423,,lightning,ba,90,25
seconds,2.446,,lightning,t4,255,30
seconds,2.467,,lightning,ba,90,28
seconds,2.488,,lightning,t1,255,26
seconds,2.511,,lightning,ba,90,25
seconds,2.534,,lightning,t0,255,31
seconds,2.553,,lightning,ba,90,27
seconds,2.572,,lightning,t1,255,26
seconds,2.594,,lightning,ba,90,31
seconds,2.614,,lightning,t4,255,28
seconds,2.636,,lightning,ba,90,28
seconds,2.659,,lightning,t5,255,28
seconds,2.68,,lightning,ba,90,25
seconds,2.702,,lightning,t0,255,25
seconds,2.725,,lightning,ba,90,29
seconds,2.745,,lightning,t1,255,30
seconds,2.768,,lightning,ba,90,32
seconds,2.789,,lightning,t5,255,30
seconds,2.811,,lightning,ba,90,32
seconds,2.834,,lightning,t4,255,29
seconds,2.854,,lightning,ba,90,29
seconds,2.873,,lightning,t1,255,25
seconds,2.891,,lightning,ba,90,27
seconds,2.91,,lightning,t0,255,26
seconds,2.928,,lightning,ba,90,32
seconds,2.949,,lightning,t5,255,28
seconds,2.969,,lightning,ba,90,25
seconds,2.992,,lightning,t0,255,26
seconds,3.013,,lightning,ba,90,25
seconds,3.033,,lightning,t1,255,25
seconds,3.055,,lightning,ba,90,30
seconds,3.074,,lightning,t5,255,26
seconds,3.092,,lightning,ba,90,30
